planning_room_id,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue
2400624,1402,1284,941,7,61,57
2400625,1153,1016,738,11,102,35
2500726,635,574,478,5,30,31
2500727,605,553,448,4,28,24
2500728,793,735,561,3,28,30
2500729,815,769,597,7,21,25
2500830,394,363,281,3,16,15
2500831,650,604,484,8,26,20
2500832,794,712,567,8,44,37
2500833,890,812,634,5,48,30
2500834,1167,1068,818,5,61,38
2500835,1950,1805,1352,11,75,70
2500836,453,417,328,2,19,17
3100101,589,520,401,2,33,36
3100102,775,461,384,6,21,22
3100103,1503,1429,1138,11,33,41
3200204,340,307,241,3,14,19
3200205,769,719,595,11,21,29
3200206,625,590,480,6,17,17
3200207,1055,983,797,13,33,39
3200308,431,412,329,4,8,11
3200309,533,503,435,11,10,19
3200310,768,730,611,12,19,19
3300411,1028,984,791,7,21,23
3300412,446,423,352,8,10,13
3300413,168,154,131,2,6,8
3300514,804,751,626,12,22,31
3300515,20,17,13,1,0,3
3300516,1214,1117,880,11,37,60
3300517,210,196,166,3,5,9
3400618,424,396,323,4,17,11
3400619,1035,974,794,20,29,32
3400620,508,473,380,9,12,23
3400721,887,819,673,10,22,46
3400722,546,506,417,4,26,14
3400723,1155,735,580,5,35,44
3400724,716,647,532,7,28,41
3400725,882,845,704,12,15,22
3400826,984,921,730,7,24,39
3400827,954,857,712,6,48,49
3400828,432,403,351,6,12,17
3400829,562,504,421,11,19,39
3400830,744,697,581,6,23,24
3400831,67,50,37,0,8,9
3500932,830,765,621,7,29,36
3500933,1311,957,740,6,34,73
3500934,816,732,592,7,33,51
3500935,512,461,364,4,18,33
3500936,799,742,599,9,20,37
3501037,1311,1209,960,9,58,43
3501038,1164,964,804,18,23,40
3601139,334,293,246,5,15,26
3601140,465,413,328,5,17,35
3601141,590,516,418,5,34,40
3601142,1112,1008,774,10,64,38
3601243,674,603,505,4,38,33
3601244,623,565,454,0,26,32
3601245,1378,1266,1052,19,50,61
3601346,348,319,234,0,13,16
3601347,658,578,430,3,32,48
3601348,422,375,305,5,19,28
3601449,1586,1476,1194,24,56,54
3601450,1158,1071,825,13,54,33
3601451,612,564,425,3,24,24
3601452,558,507,409,3,17,34
3601453,329,280,230,1,30,19
3701554,922,849,675,2,38,34
3701555,903,848,642,3,20,35
3701556,639,563,445,10,51,25
3701657,506,453,345,2,27,25
3701658,459,402,335,6,24,33
3701659,599,541,447,5,21,37
3701660,899,836,683,12,26,37
4100101,2062,1864,1523,22,89,107
4100102,1080,1026,847,11,21,33
4200203,604,569,393,5,20,9
4200204,541,518,427,9,7,16
4200205,602,449,369,7,11,10
4200206,346,321,268,4,12,13
4200207,500,445,334,3,28,27
4200308,1429,857,706,12,28,52
4200309,714,689,584,6,6,19
4200310,1082,995,827,8,25,62
4200311,1405,1255,1021,16,74,74
4300412,976,690,552,9,51,35
4300413,1046,958,770,6,30,58
4300414,1202,1105,882,12,48,49
4300415,870,813,644,7,16,41
4300416,1439,1326,1064,13,48,65
4300517,1153,1072,845,10,35,46
4300518,832,732,543,6,59,41
4300619,930,868,713,10,24,38
4300620,606,519,411,4,60,27
4300621,1619,1505,1237,22,59,55
4300622,1168,1027,813,9,88,53
4300623,1798,1627,1305,21,91,80
4300624,1081,980,834,5,43,58
4400725,47,39,35,0,2,6
4400726,740,681,556,10,14,45
